date,state,cases,deaths
3/1/20,Arizona,1,0
3/1/20,Wisconsin,1,0
3/2/20,Arizona,1,0
3/2/20,Wisconsin,1,0
3/3/20,Arizona,2,0
3/3/20,Wisconsin,1,0
3/4/20,Arizona,2,0
3/4/20,Wisconsin,1,0
3/5/20,Arizona,2,0
3/5/20,Maryland,3,0
3/5/20,Nevada,2,0
3/5/20,Tennessee,1,0
3/5/20,Wisconsin,1,0
3/6/20,Arizona,3,0
3/6/20,Kentucky,1,0
3/6/20,Maryland,3,0
3/6/20,Nevada,2,0
3/6/20,Oklahoma,1,0
3/6/20,Tennessee,1,0
3/6/20,Wisconsin,1,0
3/7/20,Arizona,5,0
3/7/20,Kentucky,1,0
3/7/20,Maryland,3,0
3/7/20,Missouri,1,0
3/7/20,Nevada,2,0
3/7/20,Oklahoma,1,0
3/7/20,Tennessee,1,0
3/7/20,Virginia,1,0
3/7/20,Wisconsin,1,0
3/8/20,Arizona,5,0
3/8/20,Kentucky,4,0
3/8/20,Maryland,5,0
3/8/20,Missouri,1,0
3/8/20,Nevada,4,0
3/8/20,Oklahoma,1,0
3/8/20,Tennessee,3,0
3/8/20,Virginia,2,0
3/8/20,Wisconsin,1,0
3/9/20,Arizona,6,0
3/9/20,Kentucky,5,0
3/9/20,Maryland,6,0
3/9/20,Missouri,1,0
3/9/20,Nevada,4,0
3/9/20,Oklahoma,1,0
3/9/20,Tennessee,4,0
3/9/20,Virginia,5,0
3/9/20,Wisconsin,2,0
3/10/20,Arizona,6,0
3/10/20,Kentucky,7,0
3/10/20,Maryland,9,0
3/10/20,Missouri,1,0
3/10/20,Nevada,4,0
3/10/20,Oklahoma,2,0
3/10/20,Tennessee,7,0
3/10/20,Virginia,8,0
3/10/20,Wisconsin,3,0
3/11/20,Arizona,9,0
3/11/20,Kentucky,7,0
3/11/20,Maryland,13,0
3/11/20,Mississippi,1,0
3/11/20,Missouri,1,0
3/11/20,Nevada,7,0
3/11/20,Oklahoma,2,0
3/11/20,Tennessee,8,0
3/11/20,Virginia,10,0
3/11/20,Wisconsin,6,0
3/12/20,Arizona,9,0
3/12/20,Kentucky,11,0
3/12/20,Maryland,13,0
3/12/20,Mississippi,1,0
3/12/20,Missouri,2,0
3/12/20,Nevada,11,0
3/12/20,Oklahoma,2,0
3/12/20,Tennessee,18,0
3/12/20,Virginia,17,0
3/12/20,Wisconsin,8,0
3/13/20,Alabama,6,0
3/13/20,Arizona,9,0
3/13/20,Kentucky,11,0
3/13/20,Maryland,18,0
3/13/20,Mississippi,6,0
3/13/20,Missouri,4,0
3/13/20,Nevada,19,0
3/13/20,Oklahoma,3,0
3/13/20,Tennessee,26,0
3/13/20,Virginia,30,0
3/13/20,Wisconsin,19,0
3/14/20,Alabama,12,0
3/14/20,Arizona,12,0
3/14/20,Kentucky,18,0
3/14/20,Maryland,27,0
3/14/20,Mississippi,6,0
3/14/20,Missouri,5,0
3/14/20,Nevada,21,0
3/14/20,Oklahoma,4,0
3/14/20,Tennessee,32,0
3/14/20,Virginia,42,1
3/14/20,Wisconsin,27,0
3/15/20,Alabama,23,0
3/15/20,Arizona,13,0
3/15/20,Kentucky,21,0
3/15/20,Maryland,32,0
3/15/20,Mississippi,10,0
3/15/20,Missouri,5,0
3/15/20,Nevada,26,0
3/15/20,Oklahoma,8,0
3/15/20,Tennessee,39,0
3/15/20,Virginia,45,1
3/15/20,Wisconsin,33,0
3/16/20,Alabama,29,0
3/16/20,Arizona,18,0
3/16/20,Kentucky,22,1
3/16/20,Maryland,39,0
3/16/20,Mississippi,12,0
3/16/20,Missouri,9,0
3/16/20,Nevada,45,1
3/16/20,Oklahoma,10,0
3/16/20,Tennessee,52,0
3/16/20,Virginia,51,1
3/16/20,Wisconsin,47,0
3/17/20,Alabama,39,0
3/17/20,Arizona,20,0
3/17/20,Kentucky,26,1
3/17/20,Maryland,57,0
3/17/20,Mississippi,21,0
3/17/20,Missouri,16,0
3/17/20,Nevada,55,1
3/17/20,Oklahoma,18,0
3/17/20,Tennessee,73,0
3/17/20,Virginia,67,2
3/17/20,Wisconsin,72,0
3/18/20,Alabama,51,0
3/18/20,Arizona,28,0
3/18/20,Kentucky,35,1
3/18/20,Maryland,85,1
3/18/20,Mississippi,34,0
3/18/20,Missouri,21,1
3/18/20,Nevada,82,1
3/18/20,Oklahoma,29,0
3/18/20,Tennessee,98,0
3/18/20,Virginia,78,2
3/18/20,Wisconsin,106,0
3/19/20,Alabama,78,0
3/19/20,Arizona,47,0
3/19/20,Kentucky,47,2
3/19/20,Maryland,108,1
3/19/20,Mississippi,50,1
3/19/20,Missouri,35,1
3/19/20,Nevada,99,1
3/19/20,Oklahoma,44,1
3/19/20,Tennessee,155,0
3/19/20,Virginia,94,2
3/19/20,Wisconsin,155,2
3/20/20,Alabama,106,0
3/20/20,Arizona,70,1
3/20/20,Kentucky,63,2
3/20/20,Maryland,150,2
3/20/20,Mississippi,80,1
3/20/20,Missouri,73,3
3/20/20,Nevada,165,2
3/20/20,Oklahoma,49,1
3/20/20,Tennessee,237,0
3/20/20,Virginia,115,2
3/20/20,Wisconsin,216,3
3/21/20,Alabama,131,0
3/21/20,Arizona,104,1
3/21/20,Kentucky,84,3
3/21/20,Maryland,195,3
3/21/20,Mississippi,140,1
3/21/20,Missouri,93,3
3/21/20,Nevada,165,2
3/21/20,Oklahoma,53,1
3/21/20,Tennessee,312,2
3/21/20,Virginia,152,3
3/21/20,Wisconsin,281,4
3/22/20,Alabama,157,0
3/22/20,Arizona,153,2
3/22/20,Kentucky,103,3
3/22/20,Maryland,245,3
3/22/20,Mississippi,207,1
3/22/20,Missouri,130,3
3/22/20,Nevada,190,2
3/22/20,Oklahoma,67,2
3/22/20,Tennessee,424,2
3/22/20,Virginia,219,6
3/22/20,Wisconsin,382,4
3/23/20,Alabama,196,0
3/23/20,Arizona,234,2
3/23/20,Kentucky,124,3
3/23/20,Maryland,290,3
3/23/20,Mississippi,249,1
3/23/20,Missouri,183,4
3/23/20,Nevada,265,4
3/23/20,Oklahoma,81,2
3/23/20,Tennessee,522,2
3/23/20,Virginia,254,6
3/23/20,Wisconsin,418,5
3/24/20,Alabama,242,0
3/24/20,Arizona,326,6
3/24/20,Kentucky,157,3
3/24/20,Maryland,349,4
3/24/20,Mississippi,320,1
3/24/20,Missouri,255,5
3/24/20,Nevada,315,6
3/24/20,Oklahoma,106,3
3/24/20,Tennessee,679,2
3/24/20,Virginia,290,7
3/24/20,Wisconsin,481,5
3/25/20,Alabama,386,1
3/25/20,Arizona,402,6
3/25/20,Kentucky,198,5
3/25/20,Maryland,423,4
3/25/20,Mississippi,377,5
3/25/20,Missouri,377,8
3/25/20,Nevada,405,10
3/25/20,Oklahoma,164,5
3/25/20,Tennessee,806,3
3/25/20,Virginia,391,9
3/25/20,Wisconsin,623,7
3/26/20,Alabama,538,3
3/26/20,Arizona,508,8
3/26/20,Kentucky,248,5
3/26/20,Maryland,581,4
3/26/20,Mississippi,487,6
3/26/20,Missouri,507,8
3/26/20,Nevada,535,10
3/26/20,Oklahoma,248,7
3/26/20,Tennessee,981,3
3/26/20,Virginia,604,14
3/26/20,Wisconsin,754,10
3/27/20,Alabama,639,4
3/27/20,Arizona,665,15
3/27/20,Kentucky,302,8
3/27/20,Maryland,775,5
3/27/20,Mississippi,579,8
